に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
線路	名詞,一般,*,*,*,*,線路,センロ,センロ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
寝る	動詞,自立,*,*,一段,基本形,寝る,ネル,ネル
姿	名詞,一般,*,*,*,*,姿,スガタ,スガタ
、	記号,読点,*,*,*,*,、,、,、
高	接頭詞,名詞接続,*,*,*,*,高,コウ,コー
３	名詞,数,*,*,*,*,３,サン,サン
男子	名詞,一般,*,*,*,*,男子,ダンシ,ダンシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
家裁	名詞,一般,*,*,*,*,家裁,カサイ,カサイ
送致	名詞,サ変接続,*,*,*,*,送致,ソウチ,ソーチ
　	記号,空白,*,*,*,*,　,　,　
電車	名詞,一般,*,*,*,*,電車,デンシャ,デンシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
線路	名詞,一般,*,*,*,*,線路,センロ,センロ
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
寝そべる	動詞,自立,*,*,五段・ラ行,基本形,寝そべる,ネソベル,ネソベル
様子	名詞,一般,*,*,*,*,様子,ヨウス,ヨース
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
簡易	名詞,一般,*,*,*,*,簡易,カンイ,カンイ
投稿	名詞,サ変接続,*,*,*,*,投稿,トウコウ,トーコー
サイト	名詞,一般,*,*,*,*,サイト,サイト,サイト
「	記号,括弧開,*,*,*,*,「,「,「
ツイッター	名詞,固有名詞,一般,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
投稿	名詞,サ変接続,*,*,*,*,投稿,トウコウ,トーコー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
広島	名詞,固有名詞,地域,一般,*,*,広島,ヒロシマ,ヒロシマ
県警	名詞,一般,*,*,*,*,県警,ケンケイ,ケンケイ
廿日市	名詞,固有名詞,地域,一般,*,*,廿日市,ハツカイチ,ハツカイチ
署	名詞,接尾,一般,*,*,*,署,ショ,ショ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
１	名詞,数,*,*,*,*,１,イチ,イチ
２	名詞,数,*,*,*,*,２,ニ,ニ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
広島	名詞,固有名詞,地域,一般,*,*,広島,ヒロシマ,ヒロシマ
市	名詞,接尾,地域,*,*,*,市,シ,シ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
住む	動詞,自立,*,*,五段・マ行,基本形,住む,スム,スム
私立	名詞,一般,*,*,*,*,私立,シリツ,シリツ
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー
３	名詞,数,*,*,*,*,３,サン,サン
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
男子	名詞,一般,*,*,*,*,男子,ダンシ,ダンシ
生徒	名詞,一般,*,*,*,*,生徒,セイト,セイト
（	記号,括弧開,*,*,*,*,（,（,（
１	名詞,数,*,*,*,*,１,イチ,イチ
８	名詞,数,*,*,*,*,８,ハチ,ハチ
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
鉄道	名詞,一般,*,*,*,*,鉄道,テツドウ,テツドー
営業	名詞,サ変接続,*,*,*,*,営業,エイギョウ,エイギョー
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
違反	名詞,サ変接続,*,*,*,*,違反,イハン,イハン
（	記号,括弧開,*,*,*,*,（,（,（
鉄道	名詞,一般,*,*,*,*,鉄道,テツドウ,テツドー
地	名詞,接尾,一般,*,*,*,地,チ,チ
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
立ち入り	名詞,一般,*,*,*,*,立ち入り,タチイリ,タチイリ
）	記号,括弧閉,*,*,*,*,）,）,）
の	助詞,連体化,*,*,*,*,の,ノ,ノ
非行	名詞,一般,*,*,*,*,非行,ヒコウ,ヒコー
事実	名詞,副詞可能,*,*,*,*,事実,ジジツ,ジジツ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
家裁	名詞,一般,*,*,*,*,家裁,カサイ,カサイ
送致	名詞,サ変接続,*,*,*,*,送致,ソウチ,ソーチ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
NET	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
生徒	名詞,一般,*,*,*,*,生徒,セイト,セイト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
１０月	名詞,副詞可能,*,*,*,*,１０月,ジュウガツ,ジューガツ
１	名詞,数,*,*,*,*,１,イチ,イチ
２	名詞,数,*,*,*,*,２,ニ,ニ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
午後	名詞,副詞可能,*,*,*,*,午後,ゴゴ,ゴゴ
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
時半	名詞,接尾,助数詞,*,*,*,時半,ジハン,ジハン
頃	名詞,接尾,副詞可能,*,*,*,頃,ゴロ,ゴロ
、	記号,読点,*,*,*,*,、,、,、
廿日市	名詞,固有名詞,地域,一般,*,*,廿日市,ハツカイチ,ハツカイチ
市	名詞,接尾,地域,*,*,*,市,シ,シ
地御前	名詞,固有名詞,地域,一般,*,*,地御前,ジゴゼン,ジゴゼン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
広島電鉄	名詞,固有名詞,組織,*,*,*,広島電鉄,ヒロシマデンテツ,ヒロシマデンテツ
宮島線	名詞,固有名詞,一般,*,*,*,宮島線,ミヤジマセン,ミヤジマセン
ＪＡ	名詞,固有名詞,組織,*,*,*,ＪＡ,ジェイエイ,ジェイエイ
広島	名詞,固有名詞,地域,一般,*,*,広島,ヒロシマ,ヒロシマ
病院	名詞,一般,*,*,*,*,病院,ビョウイン,ビョーイン
前	接頭詞,名詞接続,*,*,*,*,前,ゼン,ゼン
駅	名詞,一般,*,*,*,*,駅,エキ,エキ
近く	名詞,副詞可能,*,*,*,*,近く,チカク,チカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
軌道	名詞,一般,*,*,*,*,軌道,キドウ,キドー
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
正当	名詞,形容動詞語幹,*,*,*,*,正当,セイトウ,セイトー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
理由	名詞,一般,*,*,*,*,理由,リユウ,リユー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
立ち入り	動詞,自立,*,*,五段・ラ行,連用形,立ち入る,タチイリ,タチイリ
、	記号,読点,*,*,*,*,、,、,、
線路	名詞,一般,*,*,*,*,線路,センロ,センロ
上	名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
寝そべっ	動詞,自立,*,*,五段・ラ行,連用タ接続,寝そべる,ネソベッ,ネソベッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
。	記号,句点,*,*,*,*,。,。,。
電車	名詞,一般,*,*,*,*,電車,デンシャ,デンシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運行	名詞,サ変接続,*,*,*,*,運行,ウンコウ,ウンコー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
生徒	名詞,一般,*,*,*,*,生徒,セイト,セイト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
様子	名詞,一般,*,*,*,*,様子,ヨウス,ヨース
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
友人	名詞,一般,*,*,*,*,友人,ユウジン,ユージン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
携帯	名詞,サ変接続,*,*,*,*,携帯,ケイタイ,ケイタイ
電話	名詞,サ変接続,*,*,*,*,電話,デンワ,デンワ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
撮影	名詞,サ変接続,*,*,*,*,撮影,サツエイ,サツエイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
、	記号,読点,*,*,*,*,、,、,、
ツイッター	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
投稿	名詞,サ変接続,*,*,*,*,投稿,トウコウ,トーコー
。	記号,句点,*,*,*,*,。,。,。
投稿	名詞,サ変接続,*,*,*,*,投稿,トウコウ,トーコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
１１月	名詞,副詞可能,*,*,*,*,１１月,ジュウイチガツ,ジューイチガツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
県警	名詞,一般,*,*,*,*,県警,ケンケイ,ケンケイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
情報	名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
提供	名詞,サ変接続,*,*,*,*,提供,テイキョウ,テイキョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
生徒	名詞,一般,*,*,*,*,生徒,セイト,セイト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
受け	名詞,一般,*,*,*,*,受け,ウケ,ウケ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
狙お	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,狙う,ネラオ,ネラオ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
安易	名詞,形容動詞語幹,*,*,*,*,安易,アンイ,アンイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
話し	動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
13	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
12	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
04	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
"
"復讐	名詞,サ変接続,*,*,*,*,復讐,フクシュウ,フクシュー
代行	名詞,サ変接続,*,*,*,*,代行,ダイコウ,ダイコー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
中傷	名詞,サ変接続,*,*,*,*,中傷,チュウショウ,チューショー
、	記号,読点,*,*,*,*,、,、,、
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク
籍	名詞,一般,*,*,*,*,籍,セキ,セキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
探偵	名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
罰金	名詞,一般,*,*,*,*,罰金,バッキン,バッキン
３	名詞,数,*,*,*,*,３,サン,サン
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
万	名詞,数,*,*,*,*,万,マン,マン
　	記号,空白,*,*,*,*,　,　,　
インターネット	名詞,一般,*,*,*,*,インターネット,インターネット,インターネット
で	助詞,格助詞,一般,*,*,*,で,デ,デ
復讐	名詞,サ変接続,*,*,*,*,復讐,フクシュウ,フクシュー
(	名詞,サ変接続,*,*,*,*,*
ふくしゅう	名詞,サ変接続,*,*,*,*,ふくしゅう,フクシュウ,フクシュー
)	名詞,サ変接続,*,*,*,*,*
代行	名詞,サ変接続,*,*,*,*,代行,ダイコウ,ダイコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
持ちかけ	動詞,自立,*,*,一段,連用形,持ちかける,モチカケ,モチカケ
、	記号,読点,*,*,*,*,、,、,、
依頼	名詞,サ変接続,*,*,*,*,依頼,イライ,イライ
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
共謀	名詞,サ変接続,*,*,*,*,共謀,キョウボウ,キョーボー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
広島	名詞,固有名詞,地域,一般,*,*,広島,ヒロシマ,ヒロシマ
県	名詞,接尾,地域,*,*,*,県,ケン,ケン
三次	名詞,固有名詞,地域,一般,*,*,三次,ミツギ,ミツギ
市	名詞,接尾,地域,*,*,*,市,シ,シ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ
員	名詞,接尾,一般,*,*,*,員,イン,イン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
中傷	名詞,サ変接続,*,*,*,*,中傷,チュウショウ,チューショー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
メール	名詞,一般,*,*,*,*,メール,メール,メール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
勤務	名詞,サ変接続,*,*,*,*,勤務,キンム,キンム
先	名詞,接尾,一般,*,*,*,先,サキ,サキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
送っ	動詞,自立,*,*,五段・ラ行,連用タ接続,送る,オクッ,オクッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
名誉	名詞,形容動詞語幹,*,*,*,*,名誉,メイヨ,メイヨ
毀損	名詞,サ変接続,*,*,*,*,毀損,キソン,キソン
(	名詞,サ変接続,*,*,*,*,*
きそん	名詞,サ変接続,*,*,*,*,きそん,キソン,キソン
)	名詞,サ変接続,*,*,*,*,*
容疑	名詞,一般,*,*,*,*,容疑,ヨウギ,ヨーギ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
で	助詞,格助詞,一般,*,*,*,で,デ,デ
逮捕	名詞,サ変接続,*,*,*,*,逮捕,タイホ,タイホ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク
籍	名詞,一般,*,*,*,*,籍,セキ,セキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
探偵	名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ
業者	名詞,一般,*,*,*,*,業者,ギョウシャ,ギョーシャ
（	記号,括弧開,*,*,*,*,（,（,（
３	名詞,数,*,*,*,*,３,サン,サン
１	名詞,数,*,*,*,*,１,イチ,イチ
）	記号,括弧閉,*,*,*,*,）,）,）
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
広島	名詞,固有名詞,地域,一般,*,*,広島,ヒロシマ,ヒロシマ
区検	名詞,一般,*,*,*,*,区検,クケン,クケン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
１	名詞,数,*,*,*,*,１,イチ,イチ
２	名詞,数,*,*,*,*,２,ニ,ニ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
同罪	名詞,一般,*,*,*,*,同罪,ドウザイ,ドーザイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
略式	名詞,一般,*,*,*,*,略式,リャクシキ,リャクシキ
起訴	名詞,サ変接続,*,*,*,*,起訴,キソ,キソ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
NET	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
広島	名詞,固有名詞,地域,一般,*,*,広島,ヒロシマ,ヒロシマ
簡裁	名詞,一般,*,*,*,*,簡裁,カンサイ,カンサイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
罰金	名詞,一般,*,*,*,*,罰金,バッキン,バッキン
３	名詞,数,*,*,*,*,３,サン,サン
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
万	名詞,数,*,*,*,*,万,マン,マン
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
略式	名詞,一般,*,*,*,*,略式,リャクシキ,リャクシキ
命令	名詞,サ変接続,*,*,*,*,命令,メイレイ,メイレイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
出し	動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ
、	記号,読点,*,*,*,*,、,、,、
探偵	名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ
業者	名詞,一般,*,*,*,*,業者,ギョウシャ,ギョーシャ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
即日	名詞,副詞可能,*,*,*,*,即日,ソクジツ,ソクジツ
納付	名詞,サ変接続,*,*,*,*,納付,ノウフ,ノーフ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
業者	名詞,一般,*,*,*,*,業者,ギョウシャ,ギョーシャ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
探偵	名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ
業法	名詞,一般,*,*,*,*,業法,ギョウホウ,ギョーホー
違反	名詞,サ変接続,*,*,*,*,違反,イハン,イハン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
特定	名詞,サ変接続,*,*,*,*,特定,トクテイ,トクテイ
商法	名詞,一般,*,*,*,*,商法,ショウホウ,ショーホー
違反	名詞,サ変接続,*,*,*,*,違反,イハン,イハン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
両	接頭詞,名詞接続,*,*,*,*,両,リョウ,リョー
容疑	名詞,一般,*,*,*,*,容疑,ヨウギ,ヨーギ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
逮捕	名詞,サ変接続,*,*,*,*,逮捕,タイホ,タイホ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
区検	名詞,一般,*,*,*,*,区検,クケン,クケン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
犯罪	名詞,一般,*,*,*,*,犯罪,ハンザイ,ハンザイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
名誉	名詞,形容動詞語幹,*,*,*,*,名誉,メイヨ,メイヨ
毀損	名詞,サ変接続,*,*,*,*,毀損,キソン,キソン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
処罰	名詞,サ変接続,*,*,*,*,処罰,ショバツ,ショバツ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
足りる	動詞,自立,*,*,一段,基本形,足りる,タリル,タリル
」	記号,括弧閉,*,*,*,*,」,」,」
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
不	接頭詞,名詞接続,*,*,*,*,不,フ,フ
起訴	名詞,サ変接続,*,*,*,*,起訴,キソ,キソ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
13	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
12	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
01	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
"
"アトピー	名詞,一般,*,*,*,*,アトピー,アトピー,アトピー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
皮膚	名詞,一般,*,*,*,*,皮膚,ヒフ,ヒフ
炎	名詞,接尾,一般,*,*,*,炎,エン,エン
、	記号,読点,*,*,*,*,、,、,、
根治	名詞,サ変接続,*,*,*,*,根治,コンジ,コンジ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
向け	動詞,自立,*,*,一段,連用形,向ける,ムケ,ムケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
 	記号,一般,*,*,*,*,*
深層	名詞,一般,*,*,*,*,深層,シンソウ,シンソー
